ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1415861_at,8,12,20,0.478
1415862_at,0,4,20,0.832
1415863_at,8,12,20,0.869
1415864_at,20,20,5,0.31
1415865_s_at,20,20,5,0.1
1415866_at,20,20,5,0.289
1415867_at,4,4,1,0.472
1415868_at,0,4,20,0.623
1415869_a_at,12,12,3,0.177
1415870_at,4,8,20,0.696
1415871_at,4,4,1,0.168
1415872_at,8,12,20,0.631
1415873_a_at,12,12,3,0.159
1415874_at,0,20,20,0.269
1415875_at,4,8,20,0.309
1415876_a_at,16,20,20,0.633
1415877_at,16,20,20,0.61
1415878_at,4,4,1,0.615
1415879_a_at,20,20,5,0.41
1415880_a_at,8,8,2,0.621
1415881_at,16,16,4,0.391
1415882_at,4,4,1,0.481
1415883_a_at,8,12,20,0.323
1415884_at,12,12,3,0.302
1415885_at,8,12,20,0.307
1415886_at,16,16,4,0.468
1415887_at,12,12,3,0.374
1415888_at,16,16,4,0.324
1415889_a_at,16,16,4,0.032
1415890_at,16,20,20,0.261
1415891_at,16,16,4,0.142
1415892_at,16,20,20,0.147
1415893_at,0,20,20,0.504
1415894_at,16,20,20,0.448
1415895_at,0,20,20,0.301
1415896_x_at,4,4,1,0.509
1415897_a_at,16,16,4,0.674
1415898_at,16,16,4,0.311
1415899_at,4,8,20,0.186
1415900_a_at,4,12,20,0.216
1415901_at,4,20,20,0.319
1415902_at,8,8,2,0.183
1415903_at,16,16,4,0.032
1415904_at,0,4,20,0.156
1415905_at,12,12,3,0.237
1415906_at,4,4,1,0.365
1415907_at,16,16,4,0.108
1415908_at,0,20,20,0.227
1415909_at,16,16,4,0.006
1415910_s_at,12,12,3,0.243
1415911_at,4,4,1,0.809
1415912_a_at,12,16,20,0.281
1415913_at,12,12,3,0.514
1415914_at,12,12,3,0.161
1415915_at,0,0,0,0.395
1415916_a_at,0,0,0,0.421
1415917_at,0,0,0,0.233
1415918_a_at,20,20,5,0.309
1415919_at,20,20,5,0.202
1415920_at,20,20,5,0.188
1415921_a_at,8,8,2,0.367
1415922_s_at,4,20,20,0.841
1415923_at,12,16.4,20,0.21
1415924_at,8,8,2,0.674
1415925_a_at,16,20,20,0.739
1415926_at,16,16,4,0.227
1415927_at,0,20,20,0.6
1415928_a_at,8,8,2,0.048
1415929_at,8,8,2,0.182
1415930_a_at,12,12,3,0.302
1415931_at,0,20,20,0.464
1415932_x_at,8,8,2,0.293
1415933_a_at,16,16,4,0.154
1415934_at,4,8,20,0.672
1415935_at,4,8,20,0.33
1415936_at,16,20,20,0.265
1415937_s_at,0,4,20,0.509
1415938_at,0,12,20,0.168
1415939_at,0,4,20,0.619
1415940_at,8,12,20,0.445
1415941_s_at,12,12,3,0.311
1415942_at,16,16,4,0.31
1415943_at,20,20,5,0.075
1415944_at,20,20,5,0.155
1415945_at,16,16,4,0.486
1415946_at,8,12,20,0.501
1415947_at,8,8,2,0.33
1415948_at,8,8,2,0.396
1415949_at,8,8,2,0.295
1415950_a_at,12,12,3,0.352
1415951_at,0,4,20,0.218
1415952_at,0,20,20,0.891
