ProbeID,Lower_Bound,Upper_Bound,Phase_class,P_value
1420831_at,0,0,0,0.204
1420859_at,0,0,0,0.352
1421010_at,0,0,0,0.451
1421037_at,0,0,0,0.267
1421051_s_at,0,0,0,0.091
1421080_at,0,0,0,0.597
1421094_at,0,0,0,0.099
1421120_at,0,0,0,0.797
1421183_at,0,0,0,0.174
1421194_at,0,0,0,0.418
1421201_a_at,0,0,0,0.603
1421217_a_at,0,0,0,0.06
1421223_a_at,0,0,0,0.835
1421226_at,0,0,0,0.144
1421229_at,0,0,0,0.371
1421240_at,0,0,0,0.024
1421266_s_at,0,0,0,0.735
1421285_at,0,0,0,0.094
1421315_s_at,0,0,0,0.667
1421334_x_at,0,0,0,0.482
1421337_at,0,0,0,0.189
1421364_at,0,0,0,0.593
1421373_at,0,0,0,0.379
1421415_s_at,0,0,0,0.109
1421430_at,0,0,0,0.058
1421466_at,0,0,0,0.537
1421502_at,0,0,0,0.663
1421506_at,0,0,0,0.634
1421511_at,0,0,0,0.05
1421520_at,0,0,0,0.76
1421555_at,0,0,0,0.483
1421600_a_at,0,0,0,0.499
1421617_at,0,0,0,0.41
1421640_a_at,0,0,0,0.042
1421644_at,0,0,0,0.561
1421692_at,0,0,0,0.379
1421720_a_at,0,0,0,0.297
1421727_at,0,0,0,0.315
1421746_a_at,0,0,0,0.246
1421773_at,0,0,0,0.738
1421818_at,0,0,0,0.576
1421822_at,0,0,0,0.725
1421862_a_at,0,0,0,0.196
1421899_a_at,0,0,0,0.108
1421915_a_at,0,0,0,0.58
1421918_at,0,0,0,0.724
1421919_a_at,0,0,0,0.284
1421923_at,0,0,0,0.159
1421952_at,0,0,0,0.263
1421976_at,0,0,0,0.106
1421999_at,0,0,0,0.099
1422047_at,0,0,0,0.052
1422052_at,0,0,0,0.43
1422069_at,0,0,0,0.433
1422093_at,0,0,0,0.477
1422095_a_at,0,0,0,0.86
1422165_at,0,0,0,0.246
1422180_a_at,0,0,0,0.448
1422190_at,0,0,0,0.355
1422246_at,0,0,0,0.149
1422305_at,0,0,0,0.272
1422323_a_at,0,0,0,0.126
1422333_at,0,0,0,0.18
1422339_at,0,0,0,0.593
1422344_s_at,0,0,0,0.09
1422349_at,0,0,0,0.027
1422361_at,0,0,0,0.316
1422403_at,0,0,0,0.426
1422414_a_at,0,0,0,0.232
1422415_at,0,0,0,0.692
1422427_a_at,0,0,0,0.202
1422432_at,0,0,0,0.391
1422449_s_at,0,0,0,0.466
1422457_s_at,0,0,0,0.289
1422466_at,0,0,0,0.76
1422467_at,0,0,0,0.044
1422504_at,0,0,0,0.711
1422540_at,0,0,0,0.336
1422600_at,0,0,0,0.527
1422607_at,0,0,0,0.694
1422620_s_at,0,0,0,0.054
1422658_at,0,0,0,0.46
1422692_at,0,0,0,0.66
1422836_at,0,0,0,0.352
1422839_at,0,0,0,0.086
1422852_at,0,0,0,0.467
1422867_at,0,0,0,0.252
1422872_at,0,0,0,0.112
1422875_at,0,0,0,0.466
1422951_at,0,0,0,0.065
1422982_at,0,0,0,0.181
1422999_at,0,0,0,0.401
1423020_at,0,0,0,0.444
1423033_at,0,0,0,0.703
1423055_at,0,0,0,0.764
1423128_at,0,0,0,0.283
1423130_a_at,0,0,0,0.258
1423183_at,0,0,0,0.104
1423189_at,0,0,0,0.306
1423199_at,0,0,0,0.066
1423259_at,0,0,0,0.448
1423328_at,0,0,0,0.685
1423340_at,0,0,0,0.336
1423345_at,0,0,0,0.076
1423427_at,0,0,0,0.159
1423428_at,0,0,0,0.505
1423463_a_at,0,0,0,0.238
1423516_a_at,0,0,0,0.417
1423538_at,0,0,0,0.548
1423599_a_at,0,0,0,0.137
1423604_at,0,0,0,0.572
1423623_at,0,0,0,0.36
1423691_x_at,0,0,0,0.534
1423711_at,0,0,0,0.37
1423725_at,0,0,0,0.359
1423730_at,0,0,0,0.382
1423742_at,0,0,0,0.609
1423769_at,0,0,0,0.28
1423782_at,0,0,0,0.241
1423792_a_at,0,0,0,0.698
1423905_at,0,0,0,0.288
1423906_at,0,0,0,0.644
1423920_at,0,0,0,0.567
1423936_at,0,0,0,0.597
1423940_at,0,0,0,0.252
1423947_at,0,0,0,0.173
1423953_at,0,0,0,0.244
1423972_at,0,0,0,0.289
1423996_a_at,0,0,0,0.234
1423997_at,0,0,0,0.217
1424017_a_at,0,0,0,0.244
1424179_at,0,0,0,0.243
1424201_a_at,0,0,0,0.482
1424268_at,0,0,0,0.448
1424280_at,0,0,0,0.24
1424284_at,0,0,0,0.242
1424289_at,0,0,0,0.312
1424350_s_at,0,0,0,0.243
1424399_at,0,0,0,0.091
1424405_at,0,0,0,0.147
1424466_at,0,0,0,0.297
1424510_at,0,0,0,0.247
1424526_a_at,0,0,0,0.157
1424548_at,0,0,0,0.433
1424549_at,0,0,0,0.596
1424550_at,0,0,0,0.486
1424564_at,0,0,0,0.358
1424568_at,0,0,0,0.084
1424598_at,0,0,0,0.071
1424601_at,0,0,0,0.569
1424634_at,0,0,0,0.534
1424639_a_at,0,0,0,0.037
1424644_at,0,0,0,0.454
1424648_at,0,0,0,0.578
1424654_at,0,0,0,0.414
1424664_at,0,0,0,0.236
1424670_s_at,0,0,0,0.37
1424721_at,0,0,0,0.205
1424769_s_at,0,0,0,0.353
1424770_at,0,0,0,0.422
1424775_at,0,0,0,0.313
1424798_a_at,0,0,0,0.19
1424805_a_at,0,0,0,0.139
1424925_at,0,0,0,0.233
1424941_at,0,0,0,0.275
1424985_a_at,0,0,0,0.33
1425001_at,0,0,0,0.354
1425026_at,0,0,0,0.085
1425035_s_at,0,0,0,0.427
1425040_at,0,0,0,0.006
1425088_at,0,0,0,0.756
1425105_at,0,0,0,0.31
1425144_at,0,0,0,0.187
1425168_at,0,0,0,0.199
1425181_at,0,0,0,0.142
1425186_at,0,0,0,0.366
1425210_s_at,0,0,0,0.076
1425223_at,0,0,0,0.746
1425228_a_at,0,0,0,0.111
1425273_s_at,0,0,0,0.25
1425306_at,0,0,0,0.369
1425308_at,0,0,0,0.42
1425345_at,0,0,0,0.401
1425351_at,0,0,0,0.38
1425358_at,0,0,0,0.739
1425363_at,0,0,0,0.166
1425379_at,0,0,0,0.032
1425386_at,0,0,0,0.091
1425438_at,0,0,0,0.723
1425440_x_at,0,0,0,0.827
1425486_s_at,0,0,0,0.179
1425489_at,0,0,0,0.554
1425516_at,0,2,0,0.354
1425531_at,0,0,0,0.572
1425534_at,0,0,0,0.649
1425540_at,0,0,0,0.508
1425557_x_at,0,0,0,0.046
1425560_a_at,0,0,0,0.387
1425593_at,0,0,0,0.38
1425605_a_at,0,0,0,0.612
1425606_at,0,0,0,0.225
1425672_a_at,0,0,0,0.615
1425712_at,0,0,0,0.619
1425810_a_at,0,0,0,0.085
1425819_at,0,0,0,0.715
1425830_a_at,0,0,0,0.319
1425861_x_at,0,0,0,0.311
1425878_at,0,0,0,0.028
1425891_a_at,0,0,0,0.411
1425896_a_at,0,0,0,0.255
1425962_at,0,0,0,0.09
1425966_x_at,0,0,0,0.384
1425997_a_at,0,0,0,0.361
1426002_a_at,0,0,0,0.747
1426050_at,0,0,0,0.118
1426141_at,0,0,0,0.37
1426158_at,0,0,0,0.341
1426170_a_at,0,0,0,0.409
1426172_a_at,0,0,0,0.214
1426174_s_at,0,0,0,0.261
1426178_at,0,0,0,0.27
1426213_at,0,0,0,0.239
1426266_s_at,0,0,0,0.52
1426332_a_at,0,0,0,0.314
1426358_at,0,0,0,0.439
1426442_at,0,0,0,0.043
1426453_at,0,0,0,0.707
1426494_at,0,0,0,0.413
1426534_a_at,0,0,0,0.453
1426569_a_at,0,0,0,0.434
1426596_a_at,0,0,0,0.359
1426608_at,0,0,0,0.034
1426615_s_at,0,0,0,0.364
1426617_a_at,0,0,0,0.437
1426693_x_at,0,0,0,0.741
1426704_at,0,0,0,0.578
1426708_at,0,0,0,0.271
1426710_at,0,0,0,0.118
1426715_s_at,0,0,0,0.205
1426717_at,0,0,0,0.581
1426867_at,0,0,0,0.262
1426976_at,0,0,0,0.2
1426988_at,0,0,0,0.68
1426998_at,0,0,0,0.63
1427048_at,0,0,0,0.32
1427065_at,0,0,0,0.361
1427084_a_at,0,0,0,0.293
1427107_at,0,0,0,0.664
1427154_at,0,0,0,0.193
1427157_at,0,0,0,0.693
1427159_at,0,0,0,0.706
1427223_a_at,0,0,0,0.206
1427232_at,0,0,0,0.254
1427237_at,0,0,0,0.47
1427299_at,0,0,0,0.27
1427376_a_at,0,0,0,0.49
1427400_at,0,0,0,0.529
1427409_at,0,0,0,0.136
1427434_at,0,0,0,0.13
1427436_at,0,0,0,0.26
1427463_at,0,0,0,0.286
1427505_a_at,0,0,0,0.387
1427563_at,0,0,0,0.378
1427566_at,0,0,0,0.514
1427573_at,0,0,0,0.849
1427685_a_at,0,0,0,0.594
1427791_a_at,0,0,0,0.421
1427792_at,0,0,0,0.402
1427829_at,0,0,0,0.599
1427899_at,0,0,0,0.492
1427968_at,0,0,0,0.466
1427969_s_at,0,0,0,0.224
1427985_at,0,0,0,0.483
1428012_at,0,0,0,0.047
1428052_a_at,0,0,0,0.034
1428053_at,0,0,0,0.228
1428054_at,0,0,0,0.127
1428113_at,0,0,0,0.359
1428133_at,0,0,0,0.384
1428161_a_at,0,0,0,0.103
1428263_a_at,0,0,0,0.22
1428282_at,0,0,0,0.201
1428406_s_at,0,0,0,0.355
1428439_at,0,0,0,0.268
1428532_at,0,0,0,0.418
1428631_a_at,0,0,0,0.234
1428762_at,0,0,0,0.21
1429038_at,0,0,0,0.105
1429076_a_at,0,0,0,0.385
1429240_at,0,0,0,0.548
1429287_a_at,0,0,0,0.144
1429497_s_at,0,0,0,0.246
1429528_at,0,0,0,0.163
1429583_at,0,0,0,0.571
1429623_at,0,0,0,0.671
1429692_s_at,0,0,0,0.581
1429709_at,0,0,0,0.459
1429859_a_at,0,0,0,0.032
1430005_a_at,0,0,0,0.558
1430019_a_at,0,0,0,0.137
1430172_a_at,0,0,0,0.034
1430385_a_at,0,0,0,0.414
1430391_a_at,0,0,0,0.641
1430421_a_at,0,0,0,0.153
1430542_a_at,0,0,0,0.447
1430573_s_at,0,0,0,0.276
1430778_a_at,0,0,0,0.331
1430829_s_at,0,0,0,0.174
1431117_x_at,0,0,0,0.093
1431394_a_at,0,0,0,0.066
1431553_at,0,0,0,0.314
1431655_a_at,0,0.4,0,0.309
1431680_a_at,0,0,0,0.318
1431706_at,0,0,0,0.874
1431737_at,0,0,0,0.12
1431815_a_at,0,0,0,0.2
1431830_at,0,0,0,0.32
1431848_at,0,0,0,0.228
1431861_a_at,0,0,0,0.588
1431936_a_at,0,0,0,0.332
1432052_at,0,0,0,0.43
1432091_a_at,0,0,0,0.11
1432097_a_at,0,0,0,0.164
1432158_a_at,0,0,0,0.545
1432177_a_at,0,0,0,0.396
1432360_a_at,0,0,0,0.709
1432411_a_at,0,0,0,0.65
1432558_a_at,0,0,0,0.278
1432845_at,0,0,0,0.569
1433483_s_at,0,0,0,0.899
1433563_s_at,0,0,0,0.352
1433575_at,0,0,0,0.404
1433645_at,0,0,0,0.287
1433666_s_at,0,0,0,0.107
1433670_at,0,0,0,0.783
1433741_at,0,0,0,0.494
1433906_at,0,0,0,0.202
1433909_at,0,0,0,0.432
1433948_at,0,0,0,0.685
1433984_a_at,0,0,0,0.499
1434184_s_at,0,0,0,0.583
1434328_at,0,0,0,0.008
1434367_s_at,0,0,0,0.174
1434369_a_at,0,0,0,0.051
1434436_at,0,0,0,0.257
1434479_at,0,0,0,0.378
1434503_s_at,0,0,0,0.257
1434589_x_at,0,0,0,0.709
1434610_at,0,0,0,0.579
1434747_at,0,0,0,0.342
1434801_x_at,0,0,0,0.578
1434852_at,0,0,0,0.505
1435170_at,0,0,0,0.548
1435235_at,0,0,0,0.311
1435315_s_at,0,0,0,0.163
1435323_a_at,0,0,0,0.278
1435368_a_at,0,0,0,0.486
1435454_a_at,0,0,0,0.114
1435559_at,0,0,0,0.687
1435577_at,0,0,0,0.423
1435637_at,0,0,0,0.654
1435755_at,0,0,0,0.74
1435862_at,0,0,0,0.037
1435869_s_at,0,0,0,0.699
1436019_a_at,0,0,0,0.73
1436112_at,0,0,0,0.168
1436137_at,0,0,0,0.815
1436277_at,0,0,0,0.024
1436307_at,0,0,0,0.124
1436372_a_at,0,0,0,0.131
1436500_at,0,0,0,0.403
1436708_x_at,0,0,0,0.345
1436722_a_at,0,0,0,0.728
1436727_x_at,0,0,0,0.675
1436820_at,0,0,0,0.195
1436874_x_at,0,0,0,0.216
1436921_at,0,0,0,0.277
1436981_a_at,0,0,0,0.605
1437103_at,0,0,0,0.657
1437172_x_at,0,0,0,0.388
1437279_x_at,0,0,0,0.275
1437432_a_at,0,0,0,0.347
1437455_a_at,0,0,0,0.311
1437477_at,0,0,0,0.215
1437565_a_at,0,0,0,0.304
1437666_x_at,0,0,0,0.571
1437683_x_at,0,0,0,0.021
1437729_at,0,0,0,0.502
1437772_s_at,0,0,0,0.292
1437806_x_at,0,0,0,0.515
1437885_at,0,0,0,0.393
1438082_at,0,0,0,0.104
1438093_x_at,0,0,0,0.278
1438252_at,0,0,0,0.38
1438316_a_at,0,0,0,0.154
1438360_x_at,0,0,0,0.174
1438391_x_at,0,0,0,0.229
1438509_at,0,0,0,0.334
1438606_a_at,0,0,0,0.575
1438633_x_at,0,0,0,0.693
1438690_at,0,0,0,0.334
1438741_at,0,0,0,0.429
1438797_at,0,0,0,0.851
1438926_at,0,0,0,0.396
1438927_x_at,0,0,0,0.497
1438961_s_at,0,0,0,0.273
1439005_x_at,0,0,0,0.251
1439200_x_at,0,0,0,0.147
1439260_a_at,0,0,0,0.384
1439429_x_at,0,0,0,0.28
1439443_x_at,0,0,0,0.07
1439458_x_at,0,0,0,0.393
1440323_at,0,0,0,0.193
1442669_at,0,0,0,0.46
1443416_at,0,0,0,0.343
1443482_at,0,0,0,0.518
1445047_at,0,0,0,0.351
1445125_at,0,0,0,0.309
1447947_at,0,0,0,0.236
1447968_at,0,0,0,0.52
1448073_at,0,0,0,0.298
1448081_at,0,0,0,0.547
1448118_a_at,0,0,0,0.157
1448132_at,0,0,0,0.137
1448213_at,0,0,0,0.072
1448228_at,0,0,0,0.442
1448269_a_at,0,0,0,0.216
1448270_at,0,0,0,0.464
1448285_at,0,0,0,0.139
1448302_at,0,0,0,0.12
1448432_at,0,0,0,0.594
1448442_a_at,0,0,0,0.109
1448510_at,0,0,0,0.564
1448516_at,0,0,0,0.555
1448524_s_at,0,0,0,0.266
1448552_s_at,0,0,0,0.243
1448605_at,0,0,0,0.114
1448635_at,0,0,0,0.33
1448649_at,0,0,0,0.038
1448654_at,0,0,0,0.365
1448661_at,0,0,0,0.26
1448729_a_at,0,0,0,0.094
1448734_at,0,0,0,0.76
1448742_at,0,0,0,0.416
1448771_a_at,0,0,0,0.328
1448807_at,0,0,0,0.218
1448832_a_at,0,0,0,0.32
1448863_a_at,0,0,0,0.125
1448880_at,0,0,0,0.238
1448881_at,0,0,0,0.198
1448888_at,0,0,0,0.436
1448894_at,0,0,0,0.641
1448896_at,0,0,0,0.374
1448930_at,0,0,0,0.398
1448955_s_at,0,0,0,0.119
